County,tot_change,Natural,Births,Deaths,Migration_otal,International,Domestic
".Shannon County, Missouri",-269,17,844,827,-283,2,-285
".Shelby County, Missouri",-442,-68,684,752,-372,7,-379
".Stoddard County, Missouri",-943,-346,3230,3576,-569,-16,-553
".Stone County, Missouri",-256,-1223,2342,3565,994,-6,1000
".Sullivan County, Missouri",-625,94,785,691,-726,180,-906
".Taney County, Missouri",4256,677,5806,5129,3587,238,3349
".Texas County, Missouri",-618,-69,2685,2754,-532,-60,-472
".Vernon County, Missouri",-600,21,2316,2295,-612,125,-737
".Warren County, Missouri",3110,1167,3820,2653,1960,25,1935
".Washington County, Missouri",-471,168,2708,2540,-624,-4,-620
".Wayne County, Missouri",-662,-519,1296,1815,-139,-11,-128
".Webster County, Missouri",3328,1983,5035,3052,1361,-10,1371
".Worth County, Missouri",-156,-66,212,278,-91,0,-91
".Wright County, Missouri",-453,69,2255,2186,-517,-44,-473
".St. Louis city, Missouri",-18713,13918,41686,27768,-32543,7776,-40319
".Beaverhead County, Montana",207,9,807,798,196,115,81
".Big Horn County, Montana",456,1295,2460,1165,-839,103,-942
".Blaine County, Montana",190,338,960,622,-148,101,-249
".Broadwater County, Montana",629,-22,487,509,648,-14,662
".Carbon County, Montana",647,-205,700,905,848,32,816
".Carter County, Montana",92,5,136,131,87,0,87
".Cascade County, Montana",40,2825,10524,7699,-2753,759,-3512
".Chouteau County, Montana",-178,-109,448,557,-71,44,-115
".Custer County, Montana",-297,65,1369,1304,-358,14,-372
".Daniels County, Montana",-61,-41,166,207,-21,18,-39
".Dawson County, Montana",-350,102,998,896,-473,-28,-445
".Deer Lodge County, Montana",-154,-490,667,1157,339,-19,358
".Fallon County, Montana",-44,149,428,279,-196,-2,-194
".Fergus County, Montana",-540,-358,1092,1450,-174,70,-244
".Flathead County, Montana",12879,2377,10303,7926,10453,30,10423
".Gallatin County, Montana",24919,5836,10887,5051,18837,1465,17372
".Garfield County, Montana",49,13,131,118,33,0,33
".Glacier County, Montana",354,931,2260,1329,-580,139,-719
".Golden Valley County, Montana",-63,-5,78,83,-58,0,-58
".Granite County, Montana",305,-136,175,311,439,32,407
".Hill County, Montana",388,1339,2749,1410,-951,93,-1044
".Jefferson County, Montana",818,-135,842,977,959,58,901
".Judith Basin County, Montana",-65,-33,135,168,-32,7,-39
".Lake County, Montana",1710,572,3274,2702,1161,172,989
".Lewis and Clark County, Montana",6038,1568,7040,5472,4479,99,4380
".Liberty County, Montana",-2,2,204,202,-5,1,-6
".Lincoln County, Montana",297,-685,1589,2274,989,78,911
".McCone County, Montana",-70,-18,153,171,-51,0,-51
".Madison County, Montana",909,-169,537,706,1074,175,899
".Meagher County, Montana",-29,-65,164,229,37,10,27
".Mineral County, Montana",168,-94,392,486,262,-13,275
".Missoula County, Montana",10304,3212,11126,7914,7109,1271,5838
".Musselshell County, Montana",95,-148,385,533,244,55,189
".Park County, Montana",971,-54,1361,1415,1021,52,969
".Petroleum County, Montana",-1,-15,23,38,14,-1,15
".Phillips County, Montana",-298,-9,461,470,-293,6,-299
".Pondera County, Montana",-244,76,703,627,-321,105,-426
".Powder River County, Montana",-61,-51,136,187,-14,5,-19
".Powell County, Montana",-144,-215,505,720,70,9,61
".Prairie County, Montana",-102,-43,116,159,-62,8,-70
".Ravalli County, Montana",3596,-536,3525,4061,4141,-55,4196
".Richland County, Montana",1057,537,1388,851,466,-110,576
".Roosevelt County, Montana",579,836,2108,1272,-270,28,-298
".Rosebud County, Montana",-298,640,1440,800,-945,42,-987
".Sanders County, Montana",700,-274,999,1273,981,3,978
".Sheridan County, Montana",-75,-129,369,498,43,34,9
".Silver Bow County, Montana",706,-233,3603,3836,960,673,287
".Stillwater County, Montana",546,-40,761,801,587,89,498
".Sweet Grass County, Montana",86,-78,300,378,166,20,146
".Teton County, Montana",76,105,716,611,-28,58,-86
".Toole County, Montana",-588,102,535,433,-697,-24,-673
".Treasure County, Montana",-22,3,80,77,-24,0,-24
".Valley County, Montana",27,52,787,735,-24,33,-57
".Wheatland County, Montana",-42,10,226,216,-53,40,-93
".Wibaux County, Montana",-48,-36,102,138,-19,0,-19
".Yellowstone County, Montana",13309,4790,18153,13363,8532,477,8055
".Adams County, Nebraska",-4,871,3745,2874,-863,366,-1229
".Antelope County, Nebraska",-387,79,765,686,-470,34,-504
".Arthur County, Nebraska",3,-1,38,39,6,0,6
".Banner County, Nebraska",55,24,61,37,28,11,17
".Blaine County, Nebraska",-13,17,52,35,-31,0,-31
".Boone County, Nebraska",-313,-29,567,596,-284,13,-297
".Box Butte County, Nebraska",-525,299,1362,1063,-827,29,-856
".Boyd County, Nebraska",-180,-118,159,277,-58,10,-68
".Brown County, Nebraska",-188,-97,259,356,-93,0,-93
".Buffalo County, Nebraska",3560,3136,6349,3213,442,736,-294
".Burt County, Nebraska",-399,-251,637,888,-150,9,-159
".Butler County, Nebraska",-379,-97,826,923,-281,10,-291
".Cass County, Nebraska",1007,402,2591,2189,616,57,559
".Cedar County, Nebraska",-450,39,973,934,-494,2,-496
".Chase County, Nebraska",-42,-38,437,475,0,73,-73
".Cherry County, Nebraska",-24,100,671,571,-123,-12,-111
".Cheyenne County, Nebraska",-1088,226,1107,881,-1320,-28,-1292
".Clay County, Nebraska",-336,76,726,650,-413,-2,-411
".Colfax County, Nebraska",194,999,1720,721,-818,934,-1752
".Cuming County, Nebraska",-293,140,1021,881,-433,39,-472
".Custer County, Nebraska",-162,-49,1172,1221,-108,-20,-88
".Dakota County, Nebraska",-980,1905,3385,1480,-2918,165,-3083
".Dawes County, Nebraska",-593,77,859,782,-678,103,-781
".Dawson County, Nebraska",-731,1733,3649,1916,-2495,938,-3433
".Deuel County, Nebraska",-138,-63,141,204,-76,7,-83
".Dixon County, Nebraska",-367,117,697,580,-491,55,-546
".Dodge County, Nebraska",-120,413,4442,4029,-520,468,-988
".Douglas County, Nebraska",54211,41549,78149,36600,13107,14063,-956
".Dundy County, Nebraska",-315,-102,154,256,-215,-25,-190
".Fillmore County, Nebraska",-428,-221,545,766,-207,2,-209
".Franklin County, Nebraska",-246,-73,277,350,-174,0,-174
".Frontier County, Nebraska",-129,58,228,170,-187,11,-198
".Furnas County, Nebraska",-283,-156,473,629,-124,1,-125
".Gage County, Nebraska",-798,-335,2204,2539,-459,-1,-458
".Garden County, Nebraska",-220,-76,178,254,-146,-1,-145
".Garfield County, Nebraska",-80,-166,148,314,86,0,86
".Gosper County, Nebraska",-54,-12,200,212,-42,0,-42
".Grant County, Nebraska",9,37,88,51,-31,0,-31
".Greeley County, Nebraska",-182,4,266,262,-191,3,-194
".Hall County, Nebraska",2742,3838,8813,4975,-1074,2405,-3479
".Hamilton County, Nebraska",210,199,954,755,15,1,14
".Harlan County, Nebraska",-37,-41,342,383,6,2,4
".Hayes County, Nebraska",-38,86,132,46,-129,7,-136
".Hitchcock County, Nebraska",-146,-73,275,348,-74,8,-82
".Holt County, Nebraska",-368,138,1288,1150,-507,46,-553
".Hooker County, Nebraska",-54,-51,62,113,-5,0,-5
".Howard County, Nebraska",171,105,699,594,72,5,67
".Jefferson County, Nebraska",-501,-261,715,976,-240,73,-313
".Johnson County, Nebraska",-146,-165,403,568,14,18,-4
".Kearney County, Nebraska",6,69,746,677,-62,-8,-54
".Keith County, Nebraska",-337,-103,758,861,-230,-51,-179
".Keya Paha County, Nebraska",-18,-1,63,64,-17,1,-18
".Kimball County, Nebraska",-189,-88,373,461,-101,65,-166
".Knox County, Nebraska",-369,-129,929,1058,-235,18,-253
".Lancaster County, Nebraska",33683,18023,37192,19169,15788,8830,6958
".Lincoln County, Nebraska",-1374,616,3943,3327,-1994,166,-2160
".Logan County, Nebraska",-15,32,89,57,-48,14,-62
".Loup County, Nebraska",36,2,57,55,33,0,33
".McPherson County, Nebraska",-45,-8,26,34,-40,0,-40
".Madison County, Nebraska",223,1463,4785,3322,-1237,695,-1932
".Merrick County, Nebraska",-104,63,840,777,-164,-2,-162
".Morrill County, Nebraska",-400,-61,477,538,-341,24,-365
".Nance County, Nebraska",-216,-71,372,443,-148,20,-168
".Nemaha County, Nebraska",-276,-7,755,762,-270,16,-286
".Nuckolls County, Nebraska",-352,-173,386,559,-175,40,-215
".Otoe County, Nebraska",272,121,1816,1695,161,306,-145
".Pawnee County, Nebraska",-160,-52,280,332,-106,0,-106
".Perkins County, Nebraska",-76,47,345,298,-126,6,-132
".Phelps County, Nebraska",-154,15,1059,1044,-164,30,-194
".Pierce County, Nebraska",-118,141,787,646,-259,11,-270
".Platte County, Nebraska",1233,1870,4436,2566,-635,597,-1232
".Polk County, Nebraska",-189,-80,503,583,-108,43,-151
".Red Willow County, Nebraska",-331,56,1199,1143,-384,55,-439
".Richardson County, Nebraska",-498,-239,833,1072,-257,1,-258
".Rock County, Nebraska",-171,-71,135,206,-101,0,-101
".Saline County, Nebraska",24,443,1756,1313,-426,624,-1050
".Sarpy County, Nebraska",28361,15108,23576,8468,13294,2323,10971
".Saunders County, Nebraska",800,407,2279,1872,403,56,347
".Scotts Bluff County, Nebraska",-1352,704,4514,3810,-2056,189,-2245
".Seward County, Nebraska",534,220,1788,1568,318,87,231
".Sheridan County, Nebraska",-223,-133,541,674,-88,18,-106
".Sherman County, Nebraska",-151,-51,301,352,-100,1,-101
".Sioux County, Nebraska",-145,26,91,65,-173,0,-173
".Stanton County, Nebraska",-208,271,670,399,-484,35,-519
".Thayer County, Nebraska",-225,-214,494,708,-11,10,-21
".Thomas County, Nebraska",75,32,74,42,45,9,36
".Thurston County, Nebraska",285,685,1397,712,-403,28,-431
".Valley County, Nebraska",-102,-33,457,490,-69,59,-128
".Washington County, Nebraska",497,339,1960,1621,123,77,46
".Wayne County, Nebraska",-207,329,923,594,-542,61,-603
".Webster County, Nebraska",-325,-202,328,530,-124,-1,-123
".Wheeler County, Nebraska",-35,28,74,46,-63,0,-63
".York County, Nebraska",14,184,1596,1412,-164,32,-196
".Churchill County, Nevada",34,484,2941,2457,-474,302,-776
".Clark County, Nevada",315447,105372,247787,142415,208889,23319,185570
".Douglas County, Nevada",1905,-1368,3041,4409,3304,-23,3327
".Elko County, Nevada",3836,4094,6757,2663,-347,-209,-138
".Esmeralda County, Nevada",89,-47,49,96,129,-2,131
".Eureka County, Nevada",42,24,149,125,10,0,10
".Humboldt County, Nevada",310,1160,2304,1144,-879,2,-881
".Lander County, Nevada",-243,424,795,371,-679,31,-710
".Lincoln County, Nevada",-156,-105,362,467,-60,-20,-40
".Lyon County, Nevada",5528,129,5424,5295,5375,-293,5668
".Mineral County, Nevada",-265,-224,484,708,-45,58,-103
".Nye County, Nevada",2578,-2948,3443,6391,5505,-328,5833
".Pershing County, Nevada",-27,73,509,436,-117,-3,-114
".Storey County, Nevada",110,-115,153,268,219,-20,239
".Washoe County, Nevada",50090,14927,49456,34529,35047,-287,35334
".White Pine County, Nevada",-446,116,977,861,-566,43,-609
".Carson City, Nevada",647,-1018,5427,6445,1641,-181,1822
".Belknap County, New Hampshire",1228,-1440,4828,6268,2721,493,2228
".Carroll County, New Hampshire",1087,-1667,3220,4887,2795,185,2610
".Cheshire County, New Hampshire",-1037,-368,6223,6591,-631,565,-1196
".Coos County, New Hampshire",-1489,-1728,2274,4002,187,39,148
".Grafton County, New Hampshire",747,-668,6819,7487,1481,2269,-788
".Hillsborough County, New Hampshire",16319,9873,39447,29574,6672,13569,-6897
".Merrimack County, New Hampshire",4940,-43,12391,12434,5104,3462,1642
".Rockingham County, New Hampshire",14565,2602,24273,21671,12234,2695,9539
".Strafford County, New Hampshire",7482,1717,11287,9570,5783,2868,2915
".Sullivan County, New Hampshire",-593,-353,3682,4035,-210,151,-361
".Atlantic County, New Jersey",-10855,3762,28213,24451,-14717,7275,-21992
".Bergen County, New Jersey",27095,20267,85984,65717,7419,29695,-22276
".Burlington County, New Jersey",-3381,5197,41792,36595,-8430,4525,-12955
".Camden County, New Jersey",-7064,14608,57595,42987,-21811,9831,-31642
".Cape May County, New Jersey",-5218,-4081,7966,12047,-1037,1060,-2097
".Cumberland County, New Jersey",-7100,4541,18338,13797,-11725,3190,-14915
".Essex County, New Jersey",15084,40633,95665,55032,-25915,37153,-63068
".Gloucester County, New Jersey",2880,3899,27564,23665,-838,1749,-2587
".Hudson County, New Jersey",38107,58957,94703,35746,-21094,65090,-86184
".Hunterdon County, New Jersey",-2990,275,8605,8330,-3298,947,-4245
".Mercer County, New Jersey",-55,11634,38444,26810,-11831,16366,-28197
".Middlesex County, New Jersey",15024,33811,88049,54238,-19151,45218,-64369
".Monmouth County, New Jersey",-11567,4471,54831,50360,-15998,4606,-20604
".Morris County, New Jersey",-436,8528,43289,34761,-8914,10741,-19655
".Ocean County, New Jersey",30640,11004,77150,66146,20232,2143,18089
".Passaic County, New Jersey",226,29999,63850,33851,-30130,23565,-53695
".Salem County, New Jersey",-3687,-340,6400,6740,-3376,417,-3793
".Somerset County, New Jersey",5455,8951,30723,21772,-3448,8929,-12377
".Sussex County, New Jersey",-8448,503,11459,10956,-9065,287,-9352
".Union County, New Jersey",19877,26329,63068,36739,-6335,24601,-30936
".Warren County, New Jersey",-3375,-328,8737,9065,-3031,1293,-4324
".Bernalillo County, New Mexico",16644,22584,72804,50220,-5421,10647,-16068
".Catron County, New Mexico",-200,-180,169,349,-22,-3,-19
".Chaves County, New Mexico",-1033,2282,8366,6084,-3293,509,-3802
".Cibola County, New Mexico",-540,967,3348,2381,-1518,190,-1708
".Colfax County, New Mexico",-1810,-182,1147,1329,-1645,63,-1708
".Curry County, New Mexico",578,4661,8269,3608,-4153,1307,-5460
".De Baca County, New Mexico",-276,-107,140,247,-171,16,-187
".Doña Ana County, New Mexico",8978,12954,27022,14068,-4004,2240,-6244
".Eddy County, New Mexico",4632,2483,7638,5155,2121,569,1552
".Grant County, New Mexico",-2514,-367,2765,3132,-2131,58,-2189
".Guadalupe County, New Mexico",-388,-16,391,407,-378,-3,-375
".Harding County, New Mexico",-70,-33,42,75,-39,1,-40
".Hidalgo County, New Mexico",-700,55,496,441,-768,10,-778
".Lea County, New Mexico",6344,5350,10279,4929,919,1104,-185
".Lincoln County, New Mexico",-921,-229,1689,1918,-695,138,-833
".Los Alamos County, New Mexico",1419,424,1565,1141,964,690,274
".Luna County, New Mexico",-1386,780,3544,2764,-2169,88,-2257
".McKinley County, New Mexico",-118,4418,9926,5508,-4557,489,-5046
".Mora County, New Mexico",-360,-29,375,404,-332,-6,-326
".Otero County, New Mexico",3658,2995,8450,5455,585,3739,-3154
".Quay County, New Mexico",-787,-203,889,1092,-595,107,-702
".Rio Arriba County, New Mexico",-1299,1043,4795,3752,-2343,349,-2692
".Roosevelt County, New Mexico",-1340,1195,2596,1401,-2592,368,-2960
".Sandoval County, New Mexico",15127,3929,13508,9579,11223,102,11121
".San Juan County, New Mexico",-6087,6996,16172,9176,-13162,109,-13271
".San Miguel County, New Mexico",-2098,142,2723,2581,-2271,557,-2828
".Santa Fe County, New Mexico",6126,1686,12092,10406,4578,2090,2488
".Sierra County, New Mexico",-1205,-1293,926,2219,89,-13,102
".Socorro County, New Mexico",-1224,329,1918,1589,-1580,389,-1969
".Taos County, New Mexico",-210,18,2763,2745,-205,175,-380
".Torrance County, New Mexico",-919,51,1452,1401,-997,391,-1388
".Union County, New Mexico",-494,-47,371,418,-450,-14,-436
".Valencia County, New Mexico",103,2023,7918,5895,-1921,133,-2054
".Albany County, New York",1298,3862,28901,25039,-2391,8538,-10929
".Allegany County, New York",-2832,172,4512,4340,-3033,398,-3431
".Bronx County, New York",33627,106368,195134,88766,-73764,115162,-188926
".Broome County, New York",-10187,-680,18733,19413,-9552,3714,-13266
".Cattaraugus County, New York",-4220,482,8188,7706,-4720,230,-4950
".Cayuga County, New York",-3432,184,7159,6975,-3610,458,-4068
".Chautauqua County, New York",-8004,-674,12718,13392,-7370,1524,-8894
".Chemung County, New York",-5391,94,8887,8793,-5499,356,-5855
".Chenango County, New York",-3304,-477,4694,5171,-2826,35,-2861
".Clinton County, New York",-1646,595,7100,6505,-2229,779,-3008
".Columbia County, New York",-3605,-1386,4849,6235,-2178,516,-2694
".Cortland County, New York",-1709,323,4403,4080,-2037,212,-2249
".Delaware County, New York",-3827,-1385,3565,4950,-2425,248,-2673
".Dutchess County, New York",-3236,1914,24498,22584,-5138,4102,-9240
".Erie County, New York",-432,2086,92010,89924,-1904,22801,-24705
".Essex County, New York",-2488,-854,2900,3754,-1632,250,-1882
".Franklin County, New York",-1579,241,4513,4272,-1846,182,-2028
".Fulton County, New York",-2130,-631,4935,5566,-1485,118,-1603
".Genesee County, New York",-2654,-311,5414,5725,-2342,222,-2564
".Greene County, New York",-2026,-1076,3727,4803,-923,466,-1389
".Hamilton County, New York",-425,-277,279,556,-147,-11,-136
".Herkimer County, New York",-3150,-476,5828,6304,-2664,164,-2828
".Jefferson County, New York",-6398,10875,19170,8295,-17420,3033,-20453
".Kings County, New York",55182,227925,378278,150353,-172268,128893,-301161
".Lewis County, New York",-794,742,3053,2311,-1540,150,-1690
".Livingston County, New York",-2292,-186,4832,5018,-2089,752,-2841
".Madison County, New York",-2511,496,6178,5682,-3005,260,-3265
".Monroe County, New York",-2624,15167,76001,60834,-17734,18389,-36123
".Montgomery County, New York",-1043,211,5537,5326,-1243,1067,-2310
".Nassau County, New York",17044,29783,131332,101549,-12060,25261,-37321
".New York County, New York",42325,73521,168935,95414,-30560,97431,-127991
".Niagara County, New York",-7199,-2090,19875,21965,-4988,1309,-6297
".Oneida County, New York",-6189,507,23813,23306,-6676,5086,-11762
".Onondaga County, New York",-6539,9248,48435,39187,-15800,12388,-28188
".Ontario County, New York",1678,-363,9475,9838,2148,1027,1121
".Orange County, New York",12114,20845,45493,24648,-8793,3438,-12231
".Orleans County, New York",-2538,-91,3836,3927,-2460,194,-2654
".Oswego County, New York",-4981,1993,11918,9925,-7015,466,-7481
".Otsego County, New York",-2785,-871,4770,5641,-1893,338,-2231
".Putnam County, New York",-1334,1196,7686,6490,-2531,993,-3524
".Queens County, New York",23239,141037,276330,135293,-118347,148158,-266505
".Rensselaer County, New York",-719,1303,15288,13985,-1940,2101,-4041
".Richmond County, New York",7413,16354,50049,33695,-8797,6426,-15223
".Rockland County, New York",14098,26632,46395,19763,-12630,7757,-20387
".St. Lawrence County, New York",-4200,1356,10627,9271,-5584,1241,-6825
".Saratoga County, New York",10265,3693,20342,16649,6713,2535,4178
".Schenectady County, New York",548,2418,16605,14187,-1777,3133,-4910
".Schoharie County, New York",-1724,-275,2365,2640,-1463,91,-1554
".Schuyler County, New York",-555,-300,1539,1839,-250,74,-324
".Seneca County, New York",-1232,204,3351,3147,-1431,126,-1557
".Steuben County, New York",-3603,719,9839,9120,-4306,535,-4841
".Suffolk County, New York",-16515,34418,145571,111153,-50961,24984,-75945
".Sullivan County, New York",-2069,884,7665,6781,-2979,1253,-4232
".Tioga County, New York",-2846,246,4385,4139,-3116,-78,-3038
".Tompkins County, New York",588,1506,7735,6229,-981,6686,-7667
".Ulster County, New York",-4946,-1139,14405,15544,-3751,2456,-6207
".Warren County, New York",-1748,-1042,5294,6336,-660,270,-930
".Washington County, New York",-2050,-292,5445,5737,-1727,80,-1807
".Wayne County, New York",-3833,1023,8956,7933,-4873,397,-5270
".Westchester County, New York",18288,32019,97741,65722,-13396,28643,-42039
".Wyoming County, New York",-2295,37,3459,3422,-2342,82,-2424
".Yates County, New York",-451,520,2886,2366,-970,111,-1081
".Alamance County, North Carolina",18354,2158,16914,14756,16212,701,15511
".Alexander County, North Carolina",315,-134,3288,3422,475,51,424
".Alleghany County, North Carolina",-15,-340,878,1218,333,17,316
".Anson County, North Carolina",-2483,-435,2363,2798,-2076,168,-2244
".Ashe County, North Carolina",-37,-1037,2101,3138,1025,-36,1061
".Avery County, North Carolina",-250,-520,1296,1816,277,67,210
".Beaufort County, North Carolina",-790,-1057,4392,5449,310,15,295
".Bertie County, North Carolina",-2328,-655,1657,2312,-1685,167,-1852
".Bladen County, North Carolina",-2448,-606,3241,3847,-1835,117,-1952
".Brunswick County, North Carolina",35391,-2923,9519,12442,37748,-127,37875
".Buncombe County, North Carolina",22861,140,23556,23416,22480,1138,21342
".Burke County, North Carolina",-352,-1341,8133,9474,1047,683,364
".Cabarrus County, North Carolina",38332,8326,22341,14015,29822,1548,28274
".Caldwell County, North Carolina",-880,-1260,7378,8638,455,403,52
".Camden County, North Carolina",887,143,837,694,749,117,632
".Carteret County, North Carolina",3010,-1967,5430,7397,4989,576,4413
".Caswell County, North Carolina",-1127,-563,1911,2474,-567,88,-655
".Catawba County, North Carolina",4834,1019,16018,14999,3933,1787,2146
".Chatham County, North Carolina",10985,-217,5921,6138,11111,-25,11136
".Cherokee County, North Carolina",1165,-1288,2110,3398,2452,-73,2525
".Chowan County, North Carolina",-850,-367,1327,1694,-481,29,-510
".Clay County, North Carolina",641,-538,784,1322,1183,-42,1225
".Cleveland County, North Carolina",-85,-922,9997,10919,916,463,453
".Columbus County, North Carolina",-2616,-776,5625,6401,-1818,128,-1946
".Craven County, North Carolina",-1359,4262,13863,9601,-5656,2122,-7778
".Cumberland County, North Carolina",16078,29030,51667,22637,-14078,11300,-25378
".Currituck County, North Carolina",4216,256,2322,2066,3938,-20,3958
".Dare County, North Carolina",3089,208,3233,3025,2876,244,2632
".Davidson County, North Carolina",4787,128,16099,15971,4817,240,4577
".Davie County, North Carolina",1625,-481,3552,4033,2126,65,2061
".Duplin County, North Carolina",324,1802,6759,4957,-1474,1069,-2543
".Durham County, North Carolina",51487,21625,39513,17888,29512,13465,16047
".Edgecombe County, North Carolina",-5067,33,5826,5793,-5139,72,-5211
".Forsyth County, North Carolina",31657,11908,41536,29628,19897,4208,15689
".Franklin County, North Carolina",9122,1170,6383,5213,7915,558,7357
".Gaston County, North Carolina",18431,2593,23492,20899,15899,953,14946
".Gates County, North Carolina",-623,-175,964,1139,-452,49,-501
".Graham County, North Carolina",-417,-198,791,989,-216,-6,-210
".Granville County, North Carolina",2905,503,5313,4810,2434,-23,2457
".Greene County, North Carolina",-284,192,1985,1793,-499,28,-527
".Guilford County, North Carolina",48720,17973,56731,38758,31037,12367,18670
".Halifax County, North Carolina",-4614,-869,5331,6200,-3751,114,-3865
".Harnett County, North Carolina",21285,8145,17034,8889,12986,1815,11171
".Haywood County, North Carolina",3285,-1587,5311,6898,4878,-193,5071
".Henderson County, North Carolina",10698,-2631,9915,12546,13223,-134,13357
".Hertford County, North Carolina",-1000,-328,2151,2479,-670,316,-986
".Hoke County, North Carolina",8345,5570,8524,2954,2715,1120,1595
".Hyde County, North Carolina",-880,-128,409,537,-762,11,-773
".Iredell County, North Carolina",22342,2945,16896,13951,19379,1741,17638
".Jackson County, North Carolina",3668,255,3564,3309,3402,635,2767
".Johnston County, North Carolina",40461,8296,21067,12771,31948,1061,30887
".Jones County, North Carolina",-748,-248,895,1143,-501,29,-530
".Lee County, North Carolina",3930,2196,7321,5125,1751,599,1152
".Lenoir County, North Carolina",-3558,-625,5994,6619,-2923,261,-3184
".Lincoln County, North Carolina",8097,224,7372,7148,7885,212,7673
".McDowell County, North Carolina",754,-497,4199,4696,1296,229,1067
".Macon County, North Carolina",1933,-951,3106,4057,2906,276,2630
".Madison County, North Carolina",973,-383,1802,2185,1353,90,1263
".Martin County, North Carolina",-2075,-684,2266,2950,-1387,-8,-1379
".Mecklenburg County, North Carolina",190692,78207,132636,54429,111493,42243,69250
".Mitchell County, North Carolina",-617,-716,1314,2030,110,128,-18
".Montgomery County, North Carolina",-609,220,2845,2625,-819,-62,-757
".Moore County, North Carolina",12630,-387,9688,10075,12924,799,12125
".Nash County, North Carolina",-1531,547,9960,9413,-2066,308,-2374
".New Hanover County, North Carolina",31790,3655,20743,17088,27803,1437,26366
".Northampton County, North Carolina",-2623,-837,1709,2546,-1800,80,-1880
".Onslow County, North Carolina",20137,29255,38784,9529,-10285,7624,-17909
".Orange County, North Carolina",14783,3878,11171,7293,10886,5653,5233
".Pamlico County, North Carolina",-417,-662,812,1474,248,31,217
".Pasquotank County, North Carolina",-837,734,4544,3810,-1604,595,-2199
".Pender County, North Carolina",10864,834,5718,4884,9942,84,9858
".Perquimans County, North Carolina",11,-281,1161,1442,299,-38,337
".Person County, North Carolina",14,-216,3829,4045,255,-65,320
".Pitt County, North Carolina",12566,7944,19462,11518,4658,1371,3287
".Polk County, North Carolina",208,-1343,1323,2666,1562,64,1498
".Randolph County, North Carolina",1843,1273,14661,13388,711,373,338
".Richmond County, North Carolina",-1818,42,5087,5045,-1849,34,-1883
".Robeson County, North Carolina",-3604,4701,16897,12196,-8274,511,-8785
".Rockingham County, North Carolina",-2635,-1845,8528,10373,-721,90,-811
".Rowan County, North Carolina",3594,-1,14538,14539,3687,541,3146
".Rutherford County, North Carolina",-790,-1594,6242,7836,870,32,838
".Sampson County, North Carolina",60,1660,7779,6119,-1574,1171,-2745
".Scotland County, North Carolina",-1337,481,4177,3696,-1827,144,-1971
".Stanly County, North Carolina",2220,-3,6276,6279,2274,172,2102
".Stokes County, North Carolina",-1822,-1219,3683,4902,-582,118,-700
".Surry County, North Carolina",-1966,-1114,6974,8088,-802,301,-1103
".Swain County, North Carolina",293,-50,1692,1742,346,-4,350
".Transylvania County, North Carolina",1296,-1267,2460,3727,2570,-12,2582
".Tyrrell County, North Carolina",-391,-33,381,414,-371,5,-376
".Union County, North Carolina",38527,9565,22039,12474,28854,616,28238
".Vance County, North Carolina",-873,577,5235,4658,-1451,173,-1624
".Wake County, North Carolina",210709,68543,116800,48257,140893,32400,108493
".Warren County, North Carolina",-1297,-596,1672,2268,-693,-22,-671
".Washington County, North Carolina",-1613,-265,1177,1442,-1359,2,-1361
".Watauga County, North Carolina",5116,167,3356,3189,4911,253,4658
".Wayne County, North Carolina",470,4411,15461,11050,-3928,2638,-6566
".Wilkes County, North Carolina",-898,-1032,6284,7316,206,333,-127
".Wilson County, North Carolina",577,974,8873,7899,-334,689,-1023
".Yadkin County, North Carolina",-742,-273,3603,3876,-445,33,-478
".Yancey County, North Carolina",252,-467,1579,2046,732,-6,738
".Adams County, North Dakota",-127,-59,214,273,-69,53,-122
".Barnes County, North Dakota",-649,-197,1008,1205,-449,7,-456
"Benson County, North Dakota",172,728,1398,670,-556,13,-569
".Billings County, North Dakota",144,77,114,37,64,33,31
".Bottineau County, North Dakota",-147,-124,625,749,-30,57,-87
".Bowman County, North Dakota",-127,-12,370,382,-117,2,-119
".Burke County, North Dakota",147,106,304,198,29,0,29
".Burleigh County, North Dakota",14318,5086,11551,6465,9049,808,8241
".Cass County, North Dakota",32145,13388,22786,9398,18514,5695,12819
".Cavalier County, North Dakota",-232,-14,442,456,-216,48,-264
".Dickey County, North Dakota",-415,-98,553,651,-319,70,-389
".Divide County, North Dakota",193,-7,240,247,188,86,102
".Dunn County, North Dakota",888,247,556,309,613,102,511
".Eddy County, North Dakota",-98,-137,270,407,37,3,34
".Emmons County, North Dakota",-304,-188,268,456,-116,23,-139
".Foster County, North Dakota",-127,-44,331,375,-84,-2,-82
".Golden Valley County, North Dakota",81,55,206,151,23,0,23
".Grand Forks County, North Dakota",2587,4682,9205,4523,-2113,1553,-3666
".Grant County, North Dakota",-120,-11,247,258,-110,13,-123
".Griggs County, North Dakota",-190,-159,189,348,-30,0,-30
".Hettinger County, North Dakota",21,9,308,299,11,1,10
".Kidder County, North Dakota",45,95,257,162,-46,9,-55
".LaMoure County, North Dakota",-95,8,409,401,-101,18,-119
".Logan County, North Dakota",-138,-58,191,249,-78,36,-114
".McHenry County, North Dakota",353,69,630,561,271,4,267
".McIntosh County, North Dakota",-316,-238,230,468,-82,5,-87
".McKenzie County, North Dakota",8665,1209,1777,568,7273,-20,7293
".McLean County, North Dakota",488,84,1066,982,392,24,368
