County,tot_change,Natural,Births,Deaths,Migration_otal,International,Domestic
".Franklin County, Arkansas",-422,-277,1781,2058,-139,33,-172
".Fulton County, Arkansas",241,-580,1069,1649,828,31,797
".Garland County, Arkansas",3387,-2502,10186,12688,5924,-10,5934
".Grant County, Arkansas",423,-3,1748,1751,433,-7,440
".Greene County, Arkansas",3235,840,5289,4449,2396,48,2348
".Hempstead County, Arkansas",-1055,738,2955,2217,-1799,-105,-1694
".Hot Spring County, Arkansas",760,-333,3298,3631,1076,29,1047
".Howard County, Arkansas",-579,145,1697,1552,-729,55,-784
".Independence County, Arkansas",1184,558,4425,3867,645,137,508
".Izard County, Arkansas",-74,-667,1079,1746,595,54,541
".Jackson County, Arkansas",-1279,-286,1813,2099,-1002,-5,-997
".Jefferson County, Arkansas",-10632,520,8325,7805,-11287,172,-11459
".Johnson County, Arkansas",1033,782,3223,2441,271,216,55
".Lafayette County, Arkansas",-1019,-261,649,910,-761,15,-776
".Lawrence County, Arkansas",-1004,-474,1760,2234,-537,4,-541
".Lee County, Arkansas",-1571,-202,901,1103,-1382,5,-1387
".Lincoln County, Arkansas",-1117,-176,1053,1229,-955,11,-966
".Little River County, Arkansas",-909,-258,1292,1550,-656,-35,-621
".Logan County, Arkansas",-895,-242,2389,2631,-651,188,-839
".Lonoke County, Arkansas",4927,2705,8660,5955,2260,640,1620
".Madison County, Arkansas",853,260,1866,1606,597,73,524
".Marion County, Arkansas",50,-923,1419,2342,984,32,952
".Miller County, Arkansas",-205,1135,5449,4314,-1311,-214,-1097
".Mississippi County, Arkansas",-5830,1199,5904,4705,-7097,-25,-7072
".Monroe County, Arkansas",-1454,-221,831,1052,-1246,-3,-1243
".Montgomery County, Arkansas",-511,-428,792,1220,-77,42,-119
".Nevada County, Arkansas",-768,-95,989,1084,-675,-18,-657
".Newton County, Arkansas",-562,-192,714,906,-371,5,-376
".Ouachita County, Arkansas",-2746,-676,2606,3282,-2077,40,-2117
".Perry County, Arkansas",11,-130,1049,1179,149,15,134
".Phillips County, Arkansas",-3973,305,2759,2454,-4337,-25,-4312
".Pike County, Arkansas",-569,-241,1040,1281,-322,31,-353
".Poinsett County, Arkansas",-1048,-263,2877,3140,-773,67,-840
".Polk County, Arkansas",-690,-338,2151,2489,-338,43,-381
".Pope County, Arkansas",2319,1899,7309,5410,423,469,-46
".Prairie County, Arkansas",-654,-181,806,987,-472,-9,-463
".Pulaski County, Arkansas",9162,17116,50553,33437,-7667,5758,-13425
".Randolph County, Arkansas",-11,-255,2011,2266,249,-58,307
".St. Francis County, Arkansas",-3259,566,3155,2589,-3861,160,-4021
".Saline County, Arkansas",15302,2481,12263,9782,12729,374,12355
".Scott County, Arkansas",-960,-6,1150,1156,-969,-29,-940
".Searcy County, Arkansas",-314,-347,720,1067,40,23,17
".Sebastian County, Arkansas",2087,4228,15951,11723,-2082,721,-2803
".Sevier County, Arkansas",-52,989,2457,1468,-1041,-1,-1040
".Sharp County, Arkansas",179,-780,1661,2441,961,40,921
".Stone County, Arkansas",112,-477,1114,1591,594,-72,666
".Union County, Arkansas",-2957,-137,4754,4891,-2845,-20,-2825
".Van Buren County, Arkansas",-751,-661,1488,2149,-72,58,-130
".Washington County, Arkansas",36137,15891,29814,13923,20089,5078,15011
".White County, Arkansas",1667,1266,8890,7624,419,272,147
".Woodruff County, Arkansas",-944,-244,700,944,-704,0,-704
".Yell County, Arkansas",-842,193,2568,2375,-1029,212,-1241
".Alameda County, California",161071,88031,177754,89723,73199,96638,-23439
".Alpine County, California",-46,-20,58,78,-29,8,-37
".Amador County, California",1661,-1274,2691,3965,2889,175,2714
".Butte County, California",-819,782,22527,21745,-1604,1640,-3244
".Calaveras County, California",327,-1171,3382,4553,1519,204,1315
".Colusa County, California",140,1438,2786,1348,-1304,-187,-1117
".Contra Costa County, California",104322,43086,113414,70328,61677,33643,28034
